load,price,Daynum,hour_of_day,Week,Month,Day_in_month
259.5055768,0.93869,1,0,1,1,1
255.8300807,0.94346,1,1,1,1,1
260.3848852,0.94267,1,2,1,1,1
255.8286348,0.93471,1,3,1,1,1
272.6077859,0.92297,1,4,1,1,1
292.4989334,0.92476,1,5,1,1,1
345.9552676,0.93262,1,6,1,1,1
365.8378466,0.94187,1,7,1,1,1
370.3986291,0.92735,1,8,1,1,1
329.1873778,0.93093,1,9,1,1,1
250.6961804,0.94297,1,10,1,1,1
229.0142105,0.94486,1,11,1,1,1
233.532246,0.94297,1,12,1,1,1
228.9682411,0.94227,1,13,1,1,1
233.5281809,0.93431,1,14,1,1,1
246.1136123,0.9355,1,15,1,1,1
333.7987455,0.94078,1,16,1,1,1
365.9077395,0.94545,1,17,1,1,1
370.5346108,0.93988,1,18,1,1,1
341.4929987,0.94008,1,19,1,1,1
346.0858929,0.94406,1,20,1,1,1
317.0679766,0.94197,1,21,1,1,1
297.2735462,0.94515,1,22,1,1,1
268.2189468,0.94217,1,23,1,1,1
310.4529897,0.94147,2,0,1,1,2
305.8298473,0.93135,2,1,1,1,2
310.4732262,0.93135,2,2,1,1,2
305.8641896,0.92241,2,3,1,1,2
322.7260995,0.92529,2,4,1,1,2
367.4464312,0.92976,2,5,1,1,2
431.4134948,0.94425,2,6,1,1,2
563.5090947,0.9509,2,7,1,1,2
1108.516718,0.95716,2,8,1,1,2
1070.182791,0.95716,2,9,1,1,2
986.2576235,0.95666,2,10,1,1,2
967.8483933,0.95249,2,11,1,1,2
917.1424594,0.94921,2,12,1,1,2
967.0179502,0.9509,2,13,1,1,2
966.4371366,0.95904,2,14,1,1,2
983.1322629,0.97343,2,15,1,1,2
1066.814955,0.99617,2,16,1,1,2
953.8213383,1.0052,2,17,1,1,2
754.9295324,1.00331,2,18,1,1,2
732.974173,0.99845,2,19,1,1,2
586.2303023,0.98813,2,20,1,1,2
561.3755308,0.97671,2,21,1,1,2
349.9013967,0.97056,2,22,1,1,2
311.7225536,0.95735,2,23,1,1,2
307.9877867,0.94917,3,0,1,1,3
304.6628089,0.93787,3,1,1,1,3
309.5043373,0.93213,3,2,1,1,3
305.7971733,0.93302,3,3,1,1,3
321.8659995,0.93688,3,4,1,1,3
367.4840747,0.94501,3,5,1,1,3
428.7188514,0.96046,3,6,1,1,3
557.4311214,0.98761,3,7,1,1,3
1105.667301,1.03665,3,8,1,1,3
1070.104424,1.03942,3,9,1,1,3
984.867816,1.03001,3,10,1,1,3
966.3755948,1.06251,3,11,1,1,3
916.4406744,1.06776,3,12,1,1,3
965.4022587,1.07886,3,13,1,1,3
965.0134741,1.0843,3,14,1,1,3
981.8704129,1.10868,3,15,1,1,3
1064.929104,1.13127,3,16,1,1,3
953.9508028,1.14256,3,17,1,1,3
754.7004464,1.10412,3,18,1,1,3
728.8221998,1.0629,3,19,1,1,3
579.1211522,1.00871,3,20,1,1,3
555.5561603,0.99286,3,21,1,1,3
349.5413695,0.96958,3,22,1,1,3
301.8079447,0.94867,3,23,1,1,3
306.9036783,0.95029,4,0,1,1,4
304.7204044,0.93727,4,1,1,1,4
308.5750681,0.92772,4,2,1,1,4
305.450777,0.92703,4,3,1,1,4
321.5918799,0.92494,4,4,1,1,4
367.352391,0.93637,4,5,1,1,4
428.0690013,0.95913,4,6,1,1,4
556.1305035,0.97355,4,7,1,1,4
1103.370259,0.99462,4,8,1,1,4
1066.484688,0.99203,4,9,1,1,4
984.1607552,0.98925,4,10,1,1,4
967.9322565,0.9804,4,11,1,1,4
918.3055723,0.96778,4,12,1,1,4
966.9933183,0.96639,4,13,1,1,4
966.2011761,0.9645,4,14,1,1,4
984.4491683,0.96728,4,15,1,1,4
1068.465513,0.97623,4,16,1,1,4
955.9681498,0.98368,4,17,1,1,4
757.4205001,0.97842,4,18,1,1,4
734.2862587,0.96828,4,19,1,1,4
586.7034178,0.96082,4,20,1,1,4
561.4255396,0.95496,4,21,1,1,4
349.9037437,0.9484,4,22,1,1,4
301.4512975,0.94074,4,23,1,1,4
300.6468786,0.93131,5,0,1,1,5
307.6244313,0.92243,5,1,1,1,5
304.353713,0.91917,5,2,1,1,5
307.6677444,0.9173,5,3,1,1,5
316.6231243,0.91739,5,4,1,1,5
369.3021452,0.92055,5,5,1,1,5
427.7663517,0.92312,5,6,1,1,5
554.2739586,0.92933,5,7,1,1,5
1102.115987,0.9468,5,8,1,1,5
1065.433654,0.9541,5,9,1,1,5
982.268473,0.95608,5,10,1,1,5
965.0790974,0.95697,5,11,1,1,5
915.0316289,0.96032,5,12,1,1,5
